rspo,miejscowosc,ulica_nr,google_maps_search
69998,Zabrodzie,ul. Wł. St. Reymonta 47,https://www.google.com/maps/search/?api=1&query=ul.+W%C5%82.+St.+Reymonta+47%2C+Zabrodzie%2C+wojew%C3%B3dztwo+mazowieckie%2C+Polska
54139,Warszawa,inne Trakt Brzeski 18,https://www.google.com/maps/search/?api=1&query=inne+Trakt+Brzeski+18%2C+Warszawa%2C+wojew%C3%B3dztwo+mazowieckie%2C+Polska
34835,Płock,inne Pasaż Vuka Karadzica 1,https://www.google.com/maps/search/?api=1&query=inne+Pasa%C5%BC+Vuka+Karadzica+1%2C+P%C5%82ock%2C+wojew%C3%B3dztwo+mazowieckie%2C+Polska
275007,Płock,ul. abp. Antoniego Juliana Nowowiejskiego 2A,https://www.google.com/maps/search/?api=1&query=ul.+abp.+Antoniego+Juliana+Nowowiejskiego+2A%2C+P%C5%82ock%2C+wojew%C3%B3dztwo+mazowieckie%2C+Polska
128019,Julianów,ul. Julianowska 66B i 66C,https://www.google.com/maps/search/?api=1&query=ul.+Julianowska+66B+i+66C%2C+Julian%C3%B3w%2C+wojew%C3%B3dztwo+mazowieckie%2C+Polska
79862,Lipniki,ul. Ks.Kan.E.Sierbińskiego 30,https://www.google.com/maps/search/?api=1&query=ul.+Ks.Kan.E.Sierbi%C5%84skiego+30%2C+Lipniki%2C+wojew%C3%B3dztwo+mazowieckie%2C+Polska
268506,Grodzisk Mazowiecki,ul. A. Dygasińskiego 1,https://www.google.com/maps/search/?api=1&query=ul.+A.+Dygasi%C5%84skiego+1%2C+Grodzisk+Mazowiecki%2C+wojew%C3%B3dztwo+mazowieckie%2C+Polska
6164,Grodzisk Mazowiecki,ul. W. Westfala 3,https://www.google.com/maps/search/?api=1&query=ul.+W.+Westfala+3%2C+Grodzisk+Mazowiecki%2C+wojew%C3%B3dztwo+mazowieckie%2C+Polska
3798,Książenice,al. E. Marylskiego 3,https://www.google.com/maps/search/?api=1&query=al.+E.+Marylskiego+3%2C+Ksi%C4%85%C5%BCenice%2C+wojew%C3%B3dztwo+mazowieckie%2C+Polska
263134,Grodzisk Mazowiecki,ul. L. Zondka 6,https://www.google.com/maps/search/?api=1&query=ul.+L.+Zondka+6%2C+Grodzisk+Mazowiecki%2C+wojew%C3%B3dztwo+mazowieckie%2C+Polska
4048,Grodzisk Mazowiecki,ul. W. Bartniaka 13A,https://www.google.com/maps/search/?api=1&query=ul.+W.+Bartniaka+13A%2C+Grodzisk+Mazowiecki%2C+wojew%C3%B3dztwo+mazowieckie%2C+Polska
106323,Warszawa,al. Władysława Stanisława Reymonta 16,https://www.google.com/maps/search/?api=1&query=al.+W%C5%82adys%C5%82awa+Stanis%C5%82awa+Reymonta+16%2C+Warszawa%2C+wojew%C3%B3dztwo+mazowieckie%2C+Polska
